ded,9922350,9822,142,215
dee,9801911,9555,25,90
def,9855053,9199,173,240
deg,9738580,7774,213,345
dfa,9970355,8337,6,15
dfb,9983682,8750,120,331
dfc,9942749,9663,22,47
dfd,9811427,10868,155,248
dfe,9352306,8702,35,77
dff,9979214,8035,5,7
dfg,9918540,9090,45,208
dga,9816728,9996,214,342
dgb,9983836,10261,113,277
dgc,9991501,8172,48,73
dgd,9995044,7871,98,161
dge,9934083,8551,54,132
dgf,9982871,8945,135,292
dgg,9867521,8843,79,124
eaa,9609768,9057,7,24
eab,9625949,9393,241,420
eac,9798315,8558,156,358
ead,9749203,9336,25,57
eae,9896285,8916,166,395
eaf,9880630,9944,89,167
eag,9980787,8535,298,508
eba,9865931,9108,153,258
ebb,9675151,8894,5,6
ebc,9850157,9980,172,271
ebd,9909374,9846,173,291
ebe,9982373,9750,74,128
ebf,9970239,7836,81,221
ebg,9909990,9054,17,42
eca,9995869,9579,118,177
ecb,9742837,8385,145,262
ecc,9751735,9903,99,228
ecd,9792427,9644,146,250
ece,9762365,9078,27,68
ecf,9474832,9758,10,28
ecg,9919122,8369,85,157
eda,9996942,9707,139,193
edb,9913973,9233,127,359
edc,9805673,7093,230,352
edd,9950440,9661,80,145
ede,9815464,10103,86,225
edf,9983147,7657,120,341
edg,9933936,7662,83,216
eea,9621298,8888,25,56
eeb,9907320,10619,18,37
eec,9743841,8706,423,757
eed,9970591,8142,186,382
eee,9949176,9912,12,38
eef,9633750,8548,161,296
eeg,9799225,8300,58,125
efa,9722448,8024,32,120
efb,9909834,6986,131,276
efc,9788704,9334,38,94
efd,9832025,9597,200,337
efe,9891756,9156,803,1601
eff,9842555,9728,131,255
efg,9862559,11954,41,101
ega,9995448,8537,13,41
egb,9861268,8062,295,401
egc,9977877,7834,61,175
egd,9857760,8769,42,111
ege,9532906,8317,243,487
egf,9797580,9748,150,337
egg,9993647,8476,89,220
faa,9850675,9201,25,56
fab,9919263,8102,39,110
fac,9958034,9720,23,49
fad,9865598,8832,128,249
fae,9742296,9260,8,31
faf,9919221,8302,26,93
fag,9943407,10545,86,141
fba,9871326,9035,94,272
fbb,9885334,8531,90,224
fbc,9980642,9740,17,33
fbd,9451048,10848,248,498
fbe,9850476,8260,68,134
fbf,9896512,9793,132,194
fbg,9224254,9876,225,443
fca,9762869,8053,81,178
fcb,9984069,7959,221,356
fcc,9971667,8890,205,319
fcd,9839900,9043,434,739
fce,9229761,8643,122,266
fcf,9945360,6795,5,15
fcg,9793379,8814,29,67
fda,9843028,9389,122,290
fdb,9805452,8149,23,122
fdc,9674601,8923,107,238
fdd,9944893,9684,174,274
fde,9916189,8529,87,273
fdf,9930227,9209,422,863
fdg,9917245,8974,46,74
fea,9556224,9433,13,53
feb,9884843,8504,156,261
fec,9987539,7376,19,42
fed,9935668,8212,133,219
fee,9884599,10763,304,532
fef,9833590,10263,179,294
feg,9537119,8006,9,30
ffa,9900481,9480,193,339
ffb,9898644,8385,167,290
ffc,9939668,10724,210,360
ffd,9887542,8086,188,303
ffe,9379553,10768,17,34
fff,9945148,7303,20,76
ffg,9865653,9842,5,7
fga,9812010,8278,47,68
fgb,9813323,8855,179,275
fgc,9931786,8772,140,248
fgd,9984430,8780,20,48
fge,9878276,9507,97,156
fgf,9923029,9232,96,298
fgg,9844466,8459,352,658
gaa,9714494,8674,92,161
gab,9524924,8562,102,212
gac,9565570,8568,46,84
gad,9970675,8617,155,383
gae,9923062,7809,192,274
gaf,9943161,8909,39,100
gag,9786001,9632,143,248
gba,9725630,8318,227,328
gbb,9918107,9083,6,15
gbc,9808705,8119,193,285
gbd,9891937,8712,160,258
gbe,9316613,11322,5,7
gbf,9993429,9410,5,7
gbg,9997515,8358,503,882
gca,9894355,8613,62,112
gcb,9932658,11254,159,311
gcc,9887980,10151,32,93
gcd,9901208,8559,171,261
gce,9635545,10196,333,732
gcf,9806658,8389,422,627
gcg,9828804,10596,5,13
gda,9898208,9470,61,171
gdb,9941072,9391,5,9
gdc,9586764,8935,18,51
gdd,9790162,8766,42,128
gde,9989151,8804,17,88
gdf,9916115,8260,13,39
gdg,9818600,7152,282,475
gea,9429210,9761,87,193
geb,9808896,10371,269,413
gec,9924935,11041,226,563
ged,9845751,8399,176,325
gee,9906611,8747,96,126
gef,9961773,8282,16,52
geg,9906905,7490,67,182
gfa,9992094,8848,160,308
gfb,9997105,8506,5,14
gfc,9986683,7620,50,110
gfd,9722189,8986,90,264
gfe,9958052,7989,95,242
gff,9772877,8024,99,206
gfg,9500361,7457,224,339
gga,9956487,7879,80,156
ggb,9773667,9479,51,100
ggc,9603215,8101,146,228
ggd,9610200,10322,86,305
gge,9770787,8287,595,937
ggf,9772945,9142,322,453
ggg,9661491,7043,273,423
